age,premium_amount,sum_assured,income,channel,cluster
66,8365,381001.92285554507,4109737,0,5
19,46278,1364086.5444011386,9543574,0,3
51,19472,838477.5088784831,5190092,1,1
23,44088,2194403.765133558,4117214,1,0
58,4311,119583.4746068604,1290828,0,5
72,31848,1437173.1917497588,4353440,1,0
41,46723,876398.3740253177,5289499,1,0
34,20489,1013682.6852028164,9803410,1,2
33,22406,1116384.0619466065,5636289,0,4
56,36314,1391147.8347929332,9174490,1,0
27,34297,371441.622440053,1521774,0,4
72,13236,319096.28042323084,4815711,0,5
80,11220,129957.42460931452,6691055,0,5
26,42684,1788234.5498798338,6399237,0,3
65,22933,642020.0837710556,7641610,0,5
32,31104,1193310.97132811,5247538,0,3
34,42202,2055014.6668708755,4381203,1,0
67,49652,1082014.0250457283,2441689,1,0
23,29186,485586.6669002714,2461579,1,2
46,34425,1398581.5812905026,9683888,1,0
71,5229,249206.682673328,3304036,0,5
45,30036,1281049.761763761,1836378,1,0
30,42003,1553895.6745506271,3667455,1,0
56,3665,50261.69981266845,9726677,0,5
60,7574,270907.6541954377,9367553,0,5
24,4256,104118.8471182895,496269,1,2
42,30784,705577.7640279836,2594112,1,2
56,26789,1213598.23376268,4995605,1,0
77,19475,498379.24368836015,4690320,0,5
71,15047,638496.0891543233,6895590,1,1
57,23380,966849.8189701808,2056763,1,1
51,2499,65828.49505410106,3236387,1,1
38,34574,1390044.743065339,6688257,1,0
21,13630,638197.5261483333,981592,0,4
22,40232,644958.8886775881,4853794,1,2
41,43509,777304.1781478144,8301775,1,0
27,28132,702741.5795389803,186152,0,4
19,21913,910285.8850372788,1556440,1,2
63,29782,562079.1456268129,6698987,1,1
30,29225,913977.51636907,1275707,1,2
52,29846,948627.9045159236,3000248,0,3
44,26295,487780.9886150558,2886058,1,2
54,44986,1073207.0631607496,2208382,0,3
69,40606,1894606.3693764836,9325838,1,0
30,29728,703365.1146716458,5198167,1,2
42,23021,855426.6959763541,5241436,1,2
49,40719,579273.1767470229,9401908,1,0
47,40299,719916.5238756395,6924695,1,0
53,10941,371242.2306700839,4137157,0,5
75,20081,713959.9549533688,4445646,1,1
61,7747,372855.4833980664,6767371,1,1
48,8802,268244.6129698948,2154184,1,2
41,35073,1482454.82561152,8326658,0,3
42,10993,139745.29841556592,1896828,1,2
40,29745,733548.8997690975,9066285,0,3
62,19574,265614.1960529816,9896817,1,1
26,5858,161338.09202803127,1549347,1,2
63,3674,180554.01792658924,3588932,1,1
74,4590,135894.3399999128,4911305,1,1
27,43641,989247.6495993384,3673359,0,3
72,10005,362442.1140801206,1811577,0,5
61,1324,61948.036686291496,9181987,1,1
46,16375,604261.6332346132,807796,1,2
44,10736,468725.7811926891,1990454,0,4
48,11256,395203.2093935707,1824199,0,4
77,27952,364265.1222120805,9336317,0,5
44,6067,184149.9154258084,4987188,1,2
61,16740,373722.0570113237,5155712,0,5
48,17495,521391.6045504682,2152218,1,2
58,44302,2197836.999949246,1403403,1,0
18,7555,156882.27983264806,6394169,1,2
68,11764,261744.01211746503,4356717,0,5
32,2667,90918.60450670522,1887967,0,4
69,39560,1211656.952797609,6524623,0,3
26,25182,1016760.9249749848,2960698,0,4
20,10483,489192.1435026164,5618574,0,4
79,5724,133657.03475694472,5746530,0,5
29,6921,223185.29630519205,9174480,1,2
24,32821,745211.1505764971,3493396,1,2
58,41513,1573168.9005340054,2475979,1,0
60,8927,357056.60685074294,6954677,0,5
47,3759,159848.14267183916,6141449,1,2
28,40371,559130.1315875434,3697023,1,2
41,4494,65710.5760148969,2674536,0,4
73,38758,908087.3954013896,3112433,1,0
61,26357,631765.2856160976,1784964,0,5
74,41773,465485.2223065374,502792,1,1
33,19979,628274.3396883744,4359601,1,2
45,48360,1971835.4629924328,2522870,1,0
38,27190,1200875.5285205748,1729211,0,3
75,24538,843557.8325155382,2190418,0,5
29,10379,304531.4779850841,9968416,1,2
45,45773,1442908.2782439431,6907861,0,3
39,49779,899527.7278571232,8465747,0,3
24,16239,586945.0366975402,1028778,1,2
70,31799,755785.821746944,9251412,1,1
54,10456,351719.98059787817,5566101,0,5
57,40651,1246195.4755910092,6810487,0,3
43,31524,395940.3959871153,3400947,1,2
19,29379,1292969.7682048168,5749336,1,0
33,20780,909650.0456791008,5377845,1,2
24,14389,714739.2027025209,497017,1,2
73,10234,241080.50663476923,315314,1,1
40,36845,464533.1584556047,3635554,1,2
20,14191,609073.7559949264,3137054,0,4
18,22070,316687.2530694393,1339274,1,2
67,46678,1038955.7514837296,7552006,0,3
43,41216,1284149.3931547282,1821229,0,3
76,22076,931878.0405682076,8848958,0,5
73,20453,695123.2303097841,3941007,0,5
43,2937,116330.01687638632,1869895,0,4
24,47066,1520174.0705242269,588017,0,3
75,20949,437667.3358696252,7142939,0,5
29,22939,792576.3457939106,697880,1,2
67,39233,1627371.84292593,704419,0,3
69,45869,1695583.342995372,4001312,1,0
58,40072,1352233.359493116,8154954,0,3
19,12254,152479.1904362589,5804787,0,4
79,16290,387388.16324412817,3275845,1,1
74,42915,762394.7280790415,7635940,1,0
45,22451,612351.799818023,1278820,1,2
79,16200,774193.050614584,7192539,1,1
55,25054,1192786.3572073146,545591,0,3
43,44580,1825037.613383618,4422290,1,0
75,24973,978139.4962760176,1237310,0,5
41,27457,1057847.4237946812,3489102,0,3
66,17551,285678.7005030431,9190591,1,1
56,11636,215161.72162534855,8408381,1,1
71,26959,350716.63258799387,8568590,1,1
72,6358,248106.834349736,9334315,0,5
38,33774,570407.7409309669,1781024,1,2
50,4752,163399.31820179988,4349649,0,4
67,6100,110466.55781122798,6667063,1,1
24,15618,736148.3284516966,1345741,1,2
30,18354,377907.98038973,2100536,0,4
29,40471,1325386.3828220102,9661789,0,3
20,14685,398714.7321166396,5160471,0,4
41,18587,346926.33528198133,7954250,1,2
20,40564,1611599.0364905284,9083740,0,3
60,20562,481286.0959895188,7711077,1,1
35,28440,1380070.87210239,9365964,1,0
66,16918,635683.7206248597,2530026,1,1
68,47948,1667066.3074004648,1937688,0,3
18,34843,1324999.931700119,178414,1,0
19,42057,745126.5641579902,8267281,1,0
52,45033,1639264.4232585884,8900162,1,0
44,36427,397117.3093254543,1115503,1,2
80,18740,310823.4550208111,5943968,1,1
39,47672,517758.7326793407,3369779,1,0
66,37660,990404.0016371348,4964923,0,3
29,26975,567416.5754758074,4694760,1,2
50,14702,410676.1597283706,9661120,1,1
43,40209,804386.3088005119,5734280,0,3
49,19087,947402.477452295,4569930,1,2
69,4658,74157.59130180269,2765075,0,5
62,4532,163579.53865545898,3195249,1,1
46,5807,228122.75110484645,4778114,0,4
67,30447,850715.0476352767,9722057,0,5
22,22672,1058184.2185757367,5803856,0,4
78,24708,405100.8429759405,463407,0,5
35,33921,1052913.4615528628,5796983,1,0
62,15460,533471.6134747682,9960528,0,5
33,18345,483741.407683161,4356061,1,2
21,34867,597513.9745344883,4203962,0,4
30,31089,839864.9703243827,5672558,1,2
79,28768,1093834.3555985363,134002,0,5
45,30020,309868.28351587,819553,1,2
44,11809,299048.1743878851,3610675,1,2
38,32112,403701.46401154826,1341007,0,4
46,20239,899664.1608025354,9188105,0,5
73,41212,1203993.9242743594,3711419,1,0
70,30480,1305982.1244115585,5742461,0,3
60,19744,622771.8104577487,2447850,1,1
25,28315,1307044.9233660265,7986421,0,3
31,4166,53403.07841957184,4410015,0,4
65,15607,502190.7415444863,3998943,1,1
45,20930,1034797.1064972996,3443958,0,4
22,48359,2357560.545670521,1661367,1,0
48,10370,447255.3610834816,328440,1,2
36,41621,797038.4074596441,6922012,1,0
71,7718,358074.1117979842,1324760,1,1
38,35429,651168.0417205455,2752703,0,3
69,47886,1274297.7023666112,152843,1,0
65,46419,1406283.5492331262,4931361,0,3
66,27925,1171871.5994458557,1625569,0,3
65,16914,753107.4585161591,291706,1,1
45,44974,1103607.1313872195,1223600,1,0
56,25979,1095028.6609913493,9619303,1,0
20,10793,451520.5898680898,302875,1,2
67,7007,250692.9557515304,5346572,0,5
63,47506,1100831.032332884,3931666,1,0
18,11060,138485.36093556567,273868,1,2
80,2274,63364.393672328166,5213596,0,5
29,12416,279346.3575030351,8872008,0,4
25,1238,30846.101834281133,9966324,1,2
24,26885,1190944.7368430058,1073973,1,2
76,24971,279765.77646163723,4128473,1,1
32,3136,34342.87821968919,2849830,1,2
63,49630,1740839.1193254234,2534527,1,0
75,8268,254945.0474408552,183717,0,5
21,18744,313039.1416158483,7933682,0,4
23,33782,359322.80177661055,3968363,0,4
21,15323,716198.1179311253,9563790,1,2
39,36389,936102.302522873,6428396,0,3
61,38309,1806204.6415698668,347547,0,3
47,6790,215654.0024381344,229332,1,2
26,30071,1485423.8913575276,2038220,1,0
65,44321,1017638.2314953236,7538101,1,0
51,18119,308627.3699064446,6732667,0,5
68,47063,579814.0052206316,9768218,1,0
73,8141,246459.81940629345,2524433,1,1
53,37087,745909.7855493198,3369091,0,3
37,38210,865027.3188654659,412018,0,3
43,43889,2119614.0508343605,4438743,1,0
49,39047,835154.11828712,3471241,1,0
50,36089,1617574.8577939323,3024628,1,0
31,12955,513861.3785641573,7275402,0,4
77,38167,1894944.391634792,2316331,1,0
42,30718,691144.3510457671,7510048,1,2
62,20393,505616.259645768,3579592,1,1
39,30850,1428984.339295905,3374756,1,0
65,11135,476584.2246890169,6970483,0,5
22,7230,253236.19577313465,1698025,1,2
73,40940,1012754.464001277,5391228,0,3
41,7258,167260.98270984337,9402067,1,2
19,48688,2027650.1238879208,4454873,1,0
56,20493,966660.3196234236,7251817,0,5
28,18926,534818.2008371454,2630449,1,2
76,29774,472051.3700691471,9546493,0,5
19,18529,823839.2291654312,9207535,0,4
51,10117,250934.8340072684,3036281,0,4
48,29758,745260.2956243529,2689394,0,3
73,44268,1278880.8822404142,790605,0,3
19,23185,940563.2226150054,3412071,0,4
74,19624,720390.2227808546,5869473,0,5
72,19623,469502.88272531045,7929355,0,5
21,5204,110846.15915584475,3643832,0,4
19,48571,1082927.118215518,5773970,0,3
73,46950,1120237.8943453976,2606283,1,0
59,35622,1668908.0339488992,821487,0,3
33,35164,407538.7102264423,556392,1,2
21,27474,1090238.5632297543,1859207,1,2
47,45279,1388425.9783136211,106408,1,0
52,48534,1125618.4861227137,4143433,0,3
33,39889,688552.979121879,3775097,0,3
25,16280,674632.4160046085,3473810,1,2
56,7592,359859.5921880304,304319,1,1
42,10082,193580.38179344987,7039146,1,2
57,49943,1708280.7352050832,3628737,0,3
35,47063,1004384.1386834346,5378345,1,0
34,35458,943805.5377764874,5494546,1,0
65,36764,593710.7783091018,3110147,1,1
66,49552,659724.4504420115,429242,0,3
24,36779,1316821.9678256835,5731529,1,0
77,6594,161663.91489200864,2456057,1,1
41,9937,332477.1888629573,9282415,0,4
73,46714,1066378.9787063422,4455909,0,3
19,29818,354647.21245709155,6472014,1,2
55,4915,177031.8809086254,9474109,0,5
44,7587,237496.8248215601,8042108,1,2
48,45778,2055605.2668333997,8098027,1,0
53,5340,156158.80837311555,2452100,0,5
67,37116,453382.5333294275,243094,0,5
23,14962,601786.594312483,9745138,0,4
29,22663,381353.0288903656,288269,0,4
37,33674,1429029.1813111936,7029786,0,3
25,17013,640485.5278614466,4786190,1,2
26,24885,1086873.589377168,3809100,0,4
26,22801,507117.4744674496,265732,1,2
78,38842,1931020.0651638347,5199407,0,3
32,6211,248826.43145509108,1633801,0,4
54,36838,1344472.7696815748,2078509,1,0
35,13963,278746.404123458,9166773,0,4
64,5880,186425.67627904884,7400197,0,5
29,25805,520983.66632518993,9579865,1,2
31,48340,2222670.4456704063,6507964,0,3
19,17446,536077.2343740294,7092998,0,4
45,39388,538943.7217763185,3306136,1,0
49,33396,748239.9395249102,4494391,1,0
65,45651,718207.3201577701,8210044,1,0
57,29150,467333.2193530639,5655398,1,1
31,27587,986297.306200368,3223460,1,2
52,4211,200157.3928416116,4564652,1,1
68,14011,163251.03621370636,7464328,0,5
25,12688,621140.2613833384,7075729,1,2
48,29754,1245488.5083516696,5800554,0,3
35,10977,434994.6655354518,216031,0,4
61,44815,889334.4287075995,7659402,0,3
66,31725,1225678.8453090433,3611309,1,0
32,8538,105045.42145546114,1104026,1,2
50,32830,572641.7972778915,6279150,0,5
49,34188,1693772.9191487716,2762171,0,3
35,19732,407437.5190278248,5222025,0,4
80,22743,257509.18669251405,3148315,1,1
61,15611,566766.7924321719,6460312,1,1
66,6826,249376.923680266,6066403,1,1
42,22135,887601.3104103212,4670044,1,2
80,30898,1480157.505452417,7832891,0,3
77,37131,696940.8792390284,558624,0,5
53,16600,307809.9047379345,6248469,0,5
72,44142,1668654.464442136,4502131,1,0
79,40439,1720027.5041879928,1521210,0,3
40,4767,49202.77561884208,2046454,1,2
78,6010,200450.18766888656,9836942,0,5
71,13181,170055.58527277096,753521,0,5
55,8203,229533.89653840687,8099997,0,5
21,45283,1676038.8587019502,4100539,0,3
37,10116,444714.9823907401,9809450,1,2
44,44929,1893671.7253774875,428636,0,3
63,34551,812711.8774836293,2701490,1,0
27,40909,1334369.895254393,5340038,1,0
41,3817,180126.9189146027,2862699,1,2
51,22816,634705.8525913644,4402040,1,1
30,34046,1565202.7453020166,5558344,0,3
56,3028,34278.40895528615,5932292,1,1
67,25297,580312.3696109385,5104125,1,1
53,21320,415789.56178780086,9558787,0,5
41,37637,1364376.781908819,2557982,0,3
77,18824,188854.6132967056,1820605,1,1
26,12296,518635.4877478808,4158141,0,4
75,47620,1320949.370839702,8388157,1,0
76,49473,1420788.3757601352,6375059,0,3
24,21904,515416.4633200123,4720860,1,2
43,28818,508111.63567142695,2556451,1,2
40,40613,690118.984128516,5692504,0,3
54,46572,782317.378504664,6307207,0,3
