age,premium_amount,sum_assured,income,channel,product_type,cluster
67,5118,161726.72981167122,5020983,0,1,3
80,21752,335130.62317458144,353767,1,3,2
57,23854,815640.1176604651,4809538,1,3,2
25,16806,645500.7659413443,9032186,1,1,5
79,8829,228707.54971080305,8362862,1,4,2
68,13566,547760.7797962074,3382582,0,4,4
44,2695,77788.69010363104,8726907,0,2,3
62,40921,481556.3007563399,5419354,0,5,1
18,37860,1772234.1728213348,404681,0,1,1
64,26394,1314114.6416281078,7774019,0,5,1
38,30849,602406.5467316868,7079898,1,0,5
58,49936,2274212.227536092,3490505,1,3,0
58,18899,439072.4138300698,5872549,1,5,2
24,21528,873916.0877642639,5444948,0,0,3
68,42961,2102179.4341078443,5753937,1,2,0
60,10619,192855.26647512845,8218435,1,0,5
69,22046,456649.6205398826,7668255,0,3,3
65,6744,167361.30505063554,2452788,1,2,5
61,42281,1472364.9448020337,2177116,0,1,1
39,23109,361933.333855549,961007,1,0,5
38,39303,659661.9346914261,7985624,1,2,0
76,35377,530133.9286984218,3938768,1,1,5
26,41705,1808651.9580735087,5403974,0,3,1
21,33535,966987.3348743252,2088406,0,2,1
38,6466,155502.78528144368,9259507,1,2,5
69,45476,1153819.8933761576,3580491,0,0,1
41,1116,39432.13026650964,4558131,1,1,5
57,31085,805306.2957939432,6333445,0,2,1
72,1192,43471.151792651945,7627901,1,4,2
35,38926,1092187.9813255763,8698518,1,2,0
51,23720,1017484.996148642,3074178,0,3,4
35,8412,151683.43746088457,7739632,0,3,3
43,39912,1049998.5551471226,3472565,1,1,0
68,44414,1341979.1376611742,3992108,0,1,1
61,46379,981845.9809786368,2729139,0,3,1
58,3679,111651.0395992908,1554993,0,0,4
73,47340,1709588.7161913707,364528,1,3,0
58,5964,141511.67896848137,2340988,1,1,5
22,17547,189296.19738366728,1492781,1,1,5
23,41629,1402614.698336368,4060530,0,0,1
55,39727,1109986.907761948,5814519,1,1,0
31,4646,56989.38849596574,212874,1,5,2
76,4593,225618.97589489375,8317001,0,3,3
76,6377,104937.72978386052,1785129,1,5,2
30,46090,1228150.9581859522,199439,1,3,0
44,46869,900186.9942412212,7079085,1,3,0
48,37577,981974.0244117765,4740097,1,1,0
63,16512,667252.8657954453,8565471,0,5,3
44,28775,1240394.5965321532,7769332,1,0,0
59,11363,230781.4486276036,4316562,1,3,2
50,11807,504907.4350660029,2173113,1,4,2
23,29887,448040.894035236,873503,0,0,4
19,16267,309079.624265225,7872545,1,4,2
72,45725,562838.4499713177,6985866,1,1,0
57,45530,577046.172600195,457337,0,3,4
33,28575,449352.1374879807,8016713,1,4,2
71,4252,49773.80154106944,6700302,0,3,3
52,2105,86325.37087346832,6883901,0,3,3
22,46112,1261046.6808887322,9126960,0,1,1
79,28005,899481.5199704785,5836730,1,0,5
41,13510,184225.6874729412,3597687,0,2,4
30,15000,585535.7017371389,9076861,1,3,2
24,40407,784236.7932352342,8977017,1,2,0
30,48054,1228669.3919461295,2116705,0,4,1
69,4285,110483.9566109044,3512488,1,3,2
76,19726,262772.6392252395,2330797,1,3,2
56,40580,1962545.5282764563,5433352,0,0,1
42,23122,274683.64319598814,5405230,0,4,3
40,31123,768891.0132767234,1177486,0,2,4
43,37831,683550.8066348679,2271567,0,2,4
20,28935,1308903.785114856,646989,1,3,0
38,41389,1651336.1482026384,4679781,1,2,0
20,10166,419473.6234079301,7305278,1,4,2
64,25031,1101780.187111365,5762062,1,2,0
39,32492,657414.7356413322,328991,1,0,5
55,16008,664895.6591758243,5640019,0,0,3
22,21812,934208.9031635828,396574,0,0,4
30,28188,808774.235256333,1483543,0,5,4
22,34478,557970.9849529102,8560295,0,4,3
62,8254,90529.03628212248,5954727,0,3,3
30,48212,1697677.1655319636,6776879,1,4,0
28,38093,730843.8423634197,625143,0,5,4
57,39224,1518433.8450080445,8361760,0,4,1
46,38610,888789.4153979906,9850336,0,1,1
62,41914,722329.4114201706,1038720,0,4,4
20,24901,1174626.5672183062,3879142,1,5,2
59,32806,1619644.0199080429,9086294,0,5,1
23,27890,1208481.7759454474,7694375,0,5,1
37,1212,33823.37169388052,7949350,1,1,5
61,7982,114474.10821398775,7223370,0,2,3
71,2019,52201.601523115314,6041941,1,5,2
36,30002,490937.3753118734,462120,0,0,4
31,48993,1027022.446208436,5899286,1,4,0
44,44199,1426679.9129023892,5508047,0,0,1
38,20645,641531.0615033084,8256998,0,2,3
44,47527,2102650.070242831,9769883,0,3,1
80,30005,424770.1732387168,4797961,1,1,5
51,21532,991437.8389023988,9104370,0,0,3
73,27493,1316508.2651578735,409957,1,2,0
42,20279,462475.6210194344,1556551,1,0,5
39,4344,140078.523704989,5404692,1,5,2
58,20618,517772.7126462708,8981755,1,2,5
18,13708,481543.7477680067,4124226,0,3,4
46,26588,925881.1949612354,8927650,0,2,3
22,43753,1065301.019766342,9302542,1,3,0
59,38481,1122551.9174903668,5113644,1,0,0
21,4324,114689.82862183072,3936080,0,5,4
56,14755,465532.1512583416,8652305,0,4,3
27,20007,802450.9293673591,2668846,1,2,5
34,28771,337427.73970472923,8233683,0,4,3
65,48724,1158633.1025026536,8495674,0,1,1
80,44282,1240251.2356541196,9978188,0,2,1
76,23975,344782.7520577647,8160602,1,0,5
23,19486,438820.3491301434,6427757,1,3,2
44,2273,47104.35466370855,7757966,0,1,3
67,40801,506298.9836961796,8986531,0,5,3
63,39976,982547.7042078912,513716,1,1,0
64,19196,283493.3456093507,7410659,0,5,3
52,23822,329819.65402416093,292272,1,0,5
78,4988,67424.13084271799,1643764,0,2,4
75,30481,410842.8106565165,2113668,0,2,4
30,49418,1122515.3874579316,4212320,1,1,0
36,13332,581971.4871273146,8523512,0,4,3
19,1904,34096.344392463645,3062037,1,4,2
18,17272,211037.0788428877,7277491,1,0,5
21,35626,1528123.5537430854,6064833,1,1,0
44,1860,45749.06989336063,487786,1,0,5
24,17174,357353.2758721596,784510,0,2,4
65,47195,1140376.3113974873,159688,1,1,0
69,45939,521326.0620874207,8686970,1,3,0
52,45493,2004667.6586846283,5037247,0,4,1
63,14740,545811.7746063125,4045034,1,4,2
74,13685,633533.7084798007,912235,1,2,5
30,23792,964620.9099922052,6617400,0,0,3
29,34487,961999.2988893724,9499464,1,3,0
57,47162,2046539.9730911213,6982982,1,2,0
77,6596,190655.62417818143,9334139,0,3,3
42,48850,963463.1762249754,1068219,1,5,0
77,22130,952558.0208433116,4674050,1,0,5
27,6305,112925.46773828744,1814295,0,5,4
37,45852,1777171.571930206,1263563,1,5,0
71,30045,656147.0230686513,8674819,0,3,3
28,23352,576136.1517090768,6256651,0,1,3
30,49129,2205543.4333899785,6319429,0,4,1
45,24298,1144849.4028572205,9263983,1,3,0
56,32258,1078667.5318678373,6826858,0,0,1
34,37915,590048.578128275,1279359,0,3,4
73,20599,726966.9676403679,2972990,1,5,2
41,18092,298127.4326674858,9253460,1,5,2
43,36891,596568.4418499423,429270,1,5,2
40,17362,634920.8660630444,9333337,0,1,3
49,37813,712276.9607019816,3388613,0,0,1
39,16816,787040.3299712768,7903766,0,0,3
73,29069,815790.9557922052,5152136,1,1,5
49,38569,1729395.5976416997,2872844,1,0,0
35,15240,626070.018428741,7698431,1,5,2
29,21415,761170.1568494478,2874357,1,2,5
79,21659,1076719.2770055602,589085,1,4,2
56,40661,1531755.8737947182,5875579,1,2,0
48,35116,1657259.5252492975,6525410,1,2,0
19,49051,2346125.639620048,4448111,0,4,1
25,7106,237097.43735847384,1723283,1,0,5
18,29223,1284048.256316577,5422522,1,1,0
30,21968,943305.0974487092,4076427,0,3,4
67,25296,1136436.9992478664,1175649,1,1,5
58,34684,1682146.4147517642,9012728,1,2,0
31,22033,877211.5237547214,4115064,1,2,5
37,19899,414055.5296013818,4122187,1,0,5
61,48140,1759795.918885352,393185,1,1,0
49,45761,870969.9660026886,8423665,1,4,0
71,17675,729990.0784320682,7321333,0,5,3
73,48732,1979626.4943199863,1429527,0,5,1
58,45731,601927.2234914937,5091445,0,1,1
60,39140,1675546.90010609,2994812,1,2,0
29,28276,871786.9652073578,2049537,1,2,0
58,31609,972616.3414305449,898930,0,2,4
22,36734,1554241.995783266,4179429,1,5,0
22,29445,413446.4418199388,7212165,1,5,2
47,25301,588659.821035342,2560650,0,4,4
79,26146,1256552.4217171946,5913785,0,2,1
45,46806,1166535.8473006051,2506457,0,1,1
66,46627,1963516.464067007,8862255,0,4,1
67,11723,139128.40606354832,724510,0,1,4
41,10365,158784.5654133009,2890860,1,5,2
59,45592,2270748.790714019,8237784,0,3,1
60,3318,71871.49053667116,6804368,1,2,5
47,5574,234344.81831986943,5276155,1,5,2
41,22626,715338.3146627822,2090999,0,2,4
34,8242,159661.87576330666,2924485,1,5,2
79,8302,205061.68725109028,2442650,0,1,4
58,46480,2145652.9064571303,6773894,0,3,1
45,39259,1854805.239263992,4647031,0,2,1
53,45034,1031352.8637207588,9744295,1,4,0
67,48488,1814351.1313607623,5269863,1,1,0
61,32001,367202.46178732754,6329545,0,2,3
23,40607,2023485.9501143184,9800129,0,1,1
69,23119,841812.4587446565,4295522,0,3,4
65,21362,1010539.7534389632,3816111,1,5,2
56,23206,373841.20732532704,2211413,1,2,5
80,5680,225912.1117164159,9369537,1,1,5
54,3682,177958.15142773543,4388516,1,5,2
41,36095,1060915.760381733,8908239,0,1,1
72,49550,1282409.4640916248,2668554,0,3,1
32,39392,1759138.1443937975,4596089,1,5,0
69,13182,302344.6313074269,4913585,0,1,3
47,31887,769254.1315992054,8554245,1,4,2
36,41992,1628753.5549197083,8105083,0,0,1
23,40976,1225527.916246751,6452886,0,0,1
30,17472,626183.6968107742,1760225,1,5,2
59,18349,216519.0996546817,8113191,0,3,3
60,7531,289832.77698099567,4164993,0,5,4
22,1682,71911.57015178118,7874204,0,2,3
70,44653,1730670.5562692783,7282549,1,3,0
77,17355,286752.59412015433,3073653,0,2,4
44,16766,320836.9539865998,574344,1,0,5
31,43007,1348639.361211409,8813640,0,2,1
55,28712,1370403.41027172,3947907,0,3,1
38,42577,1183188.9781705963,3936125,0,3,1
25,46249,2098459.028580548,5175072,0,5,1
39,40794,1673519.129709053,1647109,0,4,1
41,33044,1002457.9098037424,6984952,1,2,0
50,13608,581830.6310709964,4367870,0,4,4
28,10020,179050.32651454228,4817351,0,5,4
37,25225,1052611.6307897514,1277592,0,0,4
35,45952,1079860.452784714,6776718,1,2,0
29,19107,381893.3208941437,5301431,0,1,3
38,22365,685211.2201793174,9383114,1,2,5
21,43519,1559556.3468161689,1920205,1,2,0
72,6091,100952.41938252604,7746305,0,5,3
59,28385,409980.6675092499,1682656,0,4,4
71,43614,2066265.4690422656,1588392,1,5,0
49,44442,1861252.9116766285,3076238,1,1,0
53,43965,2129319.1723717577,9212474,1,5,0
69,33439,1089312.3254514043,8904923,1,0,0
33,22139,862327.7560276475,1356908,0,4,4
23,21849,546171.2727520424,5758777,0,5,3
56,17795,711279.0702499024,7603213,1,3,2
49,34210,460081.57301890285,2575929,0,3,4
64,31079,940082.6612650332,3184731,0,2,1
45,29833,887630.0659926939,5400369,1,0,5
38,34886,616857.480660207,8758708,1,4,2
59,27893,945909.21961792,1872284,1,2,0
26,21915,318815.953606431,3924108,1,4,2
79,10267,357646.96588455106,1265103,1,4,2
19,49286,1173088.452380497,5346744,1,5,0
26,8712,218218.80310581415,5217518,0,3,3
22,15266,639746.3955264224,9223556,0,1,3
68,5224,180635.4836514188,9612972,1,2,5
67,10216,413444.7893608714,7837036,0,0,3
23,13389,195844.3149437268,5618179,0,4,3
62,28889,1131934.110535308,1993558,1,5,2
63,16003,623198.3481446223,6234960,0,3,3
60,6921,93102.17462585696,7575949,0,0,3
66,17266,444413.8995849696,9332541,0,3,3
26,19309,656648.7318314216,7002942,0,3,3
40,7398,317502.55330091075,1373022,0,0,4
69,18855,419613.5698811221,8083179,0,3,3
74,27745,1170063.5091746468,7138065,1,2,0
35,21472,1047928.6722216224,4970217,0,5,4
41,16448,301136.3320599189,1791080,0,1,4
19,40500,1398022.5155715528,7070872,0,0,1
33,17010,181357.80433839053,7130805,1,0,5
26,1966,48508.42258812327,4801528,1,2,5
52,29939,1351951.9432805837,3561852,0,4,1
69,49425,1028737.8884267756,187478,1,2,0
27,24861,971834.0768847702,160250,1,4,2
58,19684,676931.7182225351,3358896,0,5,4
19,9344,101799.35644660662,4414389,1,2,5
19,35915,1585300.2828657562,589527,0,3,1
29,17213,688607.7581516531,9975591,0,5,3
60,29665,1238424.576443168,669927,0,5,4
70,30266,854307.6288338382,122021,1,2,0
62,19823,904974.3487398352,5303974,0,4,3
61,45877,821654.0105120717,2843908,1,2,0
26,12916,454137.61407629546,4214331,1,5,2
69,42031,515929.3967643678,1330086,1,3,0
18,25091,447817.0552432777,5076114,1,0,5
31,48174,1076347.4555141523,4995673,1,1,0
37,23721,978900.8770335292,6562174,1,0,5
56,40836,1209939.0393579805,9924782,0,0,1
54,32822,849743.3444140833,4675863,1,4,0
64,43368,1759305.0397224647,2256736,0,2,1
21,3054,102457.84317465256,7404577,0,3,3
61,16419,545275.9629402637,6034237,1,5,2
48,35491,1668324.3263996905,9893266,0,5,1
67,18057,356678.9080923535,2551361,0,3,4
43,8908,409421.6954233493,8503150,0,3,3
76,13997,663219.2710273439,409075,0,2,4
61,17377,497518.6633221596,8512611,1,0,5
52,31790,722474.6055156467,7279612,0,4,3
78,22527,645603.3550144034,9644746,1,0,5
26,18877,504733.5531974509,4137839,1,4,2
21,40522,1986814.03742312,7353009,0,3,1
24,16205,750981.5135916114,7010198,0,4,3
41,37438,613436.1327351774,2155499,1,0,5
36,2281,68853.79624342179,4614012,1,1,5
37,5612,169538.73241215906,3864614,1,3,2
42,16630,365293.04115130426,4791559,1,3,2
38,6608,207348.11818606025,9005834,0,5,3
20,40216,441016.10027166543,1119486,1,2,0
39,40807,1502605.0780988324,858138,1,4,0
37,29598,755598.4454146753,8799667,0,5,3
45,33849,753131.3015982686,9700989,0,4,3
78,9711,324037.0340380523,1840222,1,0,5
23,9196,115433.8316113431,2433088,0,1,4
39,28525,1034478.3064159938,9370122,0,5,3
29,30958,717635.3484341175,5609783,0,0,1
23,49509,2026513.5491670892,1488148,0,3,1
36,30412,1218291.567296975,5533986,1,2,0
31,31314,1244073.803758769,2449672,0,0,1
68,31471,740518.1058403888,8973038,1,3,0
75,3360,56656.638846482216,3488451,1,2,5
52,29977,878829.4218647752,3987541,0,2,1
70,42998,2081039.463703177,624446,1,3,0
62,8401,151662.56032151514,3985139,1,4,2
76,4841,150873.79876525368,1258766,0,3,4
64,2623,111765.72479920516,6957965,1,4,2
32,4519,98361.31935233124,3866059,1,0,5
25,20235,409625.084880008,9589453,1,5,2
60,21892,312180.3826597819,1717391,0,2,4
37,47328,555554.4747976856,907055,0,5,4
41,44750,2023136.127103434,2864286,1,1,0
44,4855,160568.4046594901,6190524,1,3,2
30,35692,629044.8868396165,4196924,0,3,1
72,44012,1591954.7113567735,2495458,1,3,0
26,29621,932091.8867402116,5431530,0,3,1
33,47292,1929065.5186478184,8442271,0,0,1
55,1360,57988.25133352804,9212551,1,0,5
49,38768,565003.2949952264,8274888,1,0,5
24,23147,583294.1816353556,1918742,0,1,4
19,11395,197847.23102981743,4295360,0,0,4
61,42727,2049228.4353279625,2769853,1,2,0
66,28240,929908.5386525968,2229651,0,2,4
61,40017,1198879.190199725,6223366,1,5,0
61,38784,655356.2790163486,3496388,1,2,0
57,9603,100214.14303057348,6132781,0,2,3
79,38588,1701175.3022928946,7645692,0,4,1
39,21313,222433.31124406157,4753490,0,0,4
74,28610,493474.31467065774,4437827,0,2,4
40,14507,410912.4141145792,9033350,0,2,3
45,32470,1176908.9918006172,5238865,1,4,0
33,35581,1466688.384538044,5678279,0,3,1
53,47277,2084701.3284590768,4825861,0,3,1
57,13958,686624.9167408213,7985698,0,5,3
35,49705,828968.4578404464,8843159,0,5,1
18,34635,1274807.212335065,3240288,1,5,0
39,16158,776325.342568739,330752,0,5,4
27,10189,230970.8743966368,3248120,1,5,2
73,41395,1465730.5603474178,2967630,0,3,1
49,5345,183537.54443642875,3712887,1,4,2
44,41466,1783904.2110417965,3373817,0,1,1
75,22213,1039870.043205474,858994,0,0,4
43,10903,177675.3898517541,7057473,1,2,5
52,6984,190112.58263652897,8820086,0,3,3
51,40058,1273353.280803745,890434,1,3,0
48,42491,1836467.0682972404,8547539,0,2,1
52,31067,1220299.600533438,6237199,1,3,0
43,25797,754965.1514788611,5756260,0,0,3
60,7612,339725.25726519513,7765078,0,1,3
60,4627,178948.7179783171,1060166,0,4,4
18,29164,976172.4714263546,5630869,0,2,1
58,28290,919650.5646293188,5834322,1,3,0
71,23223,704225.6939829643,8488968,1,3,2
63,8659,213382.26489873676,136883,1,0,5
80,27989,1275699.577551178,9202367,1,3,0
32,1232,40990.67905354599,6492858,1,2,5
59,20928,712901.5525271429,9097532,1,1,5
30,6224,144116.07586666354,3279386,0,1,4
51,45568,1236890.944168358,2121104,0,2,1
38,42934,1347005.8119274136,6469004,1,0,0
54,26452,608770.5503097364,6743546,0,2,3
57,13727,657014.1549303173,8693451,1,0,5
27,1892,26405.325432615184,6620478,1,2,5
26,39346,880306.2984260543,4594060,0,3,1
32,11357,425295.7907784877,934018,0,5,4
64,49430,2042381.2672704023,4229079,1,0,0
30,25455,997801.610362374,7727383,0,3,3
53,14729,174191.70975431142,888095,0,0,4
59,17580,460703.7005867097,4407211,1,5,2
40,22673,621440.2835392467,7795534,1,4,2
35,19684,591178.1966814798,4651796,1,4,2
48,43013,782615.6899674413,3428381,1,2,0
38,48642,1171982.0889731809,9578663,1,4,0
64,6082,147614.01308229944,8075874,0,3,3
22,37432,439161.6225763072,2938179,0,5,4
34,40266,427018.04448505375,6295761,1,4,2
75,11719,328257.1468765063,8495553,1,0,5
73,3608,124340.73918136538,152667,1,1,5
51,36880,1697634.7014507696,6124801,1,5,0
80,18497,238274.86128511585,8033510,1,1,5
44,10060,397497.3673894137,9771002,0,3,3
25,15870,495748.02928796114,4870583,1,0,5
43,36913,720430.4778661828,6890343,0,1,1
20,25039,942422.2020998969,7803440,1,3,0
46,30777,1197048.935760356,3155977,1,5,0
40,12974,429380.66384937335,9647954,0,2,3
22,20033,481450.052950493,2951160,0,2,4
52,9495,99839.3444001282,6500344,0,2,3
69,38696,1334061.265155752,8790386,1,3,0
74,37256,1475534.7289114175,2544177,0,4,1
32,49309,2135298.9297805727,6533811,0,2,1
53,42094,1353413.7605832785,9316978,1,0,0
30,24373,318367.0299176872,156066,0,4,4
72,28622,749565.5135886271,6678018,0,4,3
72,27746,861949.5739062207,6481810,1,4,2
51,48325,1895527.8387992403,8792452,1,3,0
24,48820,2391477.3921672674,6111715,0,1,1
44,9730,287977.3111302746,3141715,1,5,2
80,23453,887912.1229606456,4439241,0,0,4
49,24008,728914.9051476398,5373062,1,0,5
75,19497,744460.8222797804,6300922,0,0,3
31,5998,66662.98901474918,1177200,0,2,4
67,22062,455025.5145770325,293286,1,0,5
31,14954,162364.2367682749,122570,1,5,2
27,26501,887696.5487022098,597890,1,0,5
21,48683,1029715.5644189608,1520321,1,0,0
58,39621,511235.2040695818,7415154,0,1,1
24,25614,836765.320839937,2146310,0,3,4
21,11136,308360.8069137595,2341774,0,2,4
23,27897,1139138.088767259,8263723,1,4,0
60,34639,1514528.368632307,9952555,1,0,0
48,23334,237079.12651180392,3288070,0,5,4
23,13100,591001.8340691316,5765790,1,3,2
51,38364,435150.4857336199,4052244,1,4,2
37,13922,224331.0542805758,609916,0,1,4
69,28207,500886.1104548536,9800406,0,4,3
32,32514,863000.0516566825,852720,0,0,4
22,33953,636105.4355754487,4320154,1,0,5
61,21962,373438.065475233,6053236,1,5,2
55,37732,677440.8306936352,163589,0,5,4
23,3717,123283.0034937862,6315619,1,0,5
70,35716,1236288.5034246778,612703,1,2,0
28,14671,413801.10977458913,9094388,1,1,5
59,43314,501648.5471999309,9318661,1,0,5
46,17149,664757.108111424,7300263,1,1,5
66,45689,1856747.2508930285,1864344,0,4,1
35,23934,832534.0264423612,1264311,0,5,4
62,33790,881777.7390563553,2681325,1,5,2
65,8613,97014.44786086328,9039317,1,1,5
76,36061,1177831.2584531594,1091835,1,0,0
18,37030,1401438.6473299405,605824,1,1,0
44,33547,388491.2005330719,506694,0,4,4
73,49905,723861.60922028,7798974,1,3,0
37,46682,532296.9671677198,9943194,0,1,1
64,42437,1039073.1913630062,7564772,0,5,1
23,41779,1056023.8500261344,7285601,0,5,1
24,26213,1173082.4076045952,4738900,1,2,0
63,37149,1439801.658300175,6746062,1,5,0
24,12059,402887.2166963558,3535810,0,1,4
52,49172,2430266.0585925854,1288946,1,4,0
80,4846,149502.6512438625,5078705,0,0,3
46,37781,1553301.7316352583,9303770,1,2,0
56,18889,665553.5742637141,8204647,1,5,2
67,19551,454352.6086278039,1369416,0,5,4
68,47076,1300166.590420775,7172296,1,0,0
65,33250,958427.7635829754,3833309,1,1,0
72,33432,1399414.3353177805,9706761,1,0,0
41,4540,184959.61931408045,8022079,1,2,5
57,43992,1835619.3802471648,3489655,1,1,0
68,30854,714218.9961926058,2863245,1,1,5
